,Fold1,Fold2,Fold3,Fold4,Fold5
0,0.7699827551841736,0.7584818601608276,0.7452558875083923,0.7704257965087891,0.7577675580978394
1,0.7711328268051147,0.7659574747085571,0.7550316452980042,0.7784810066223145,0.7623705267906189
2,0.7809085845947266,0.7694076895713806,0.7630822062492371,0.7761794924736023,0.7727272510528564
3,0.7665324807167053,0.7498562335968018,0.7326049208641052,0.7600690722465515,0.7370541095733643
4,0.7786083817481995,0.7596319913864136,0.7619321346282959,0.7733026742935181,0.7692750096321106
5,0.7676825523376465,0.75330650806427,0.7550316452980042,0.7692750096321106,0.7669735550880432
6,0.7550316452980042,0.7498562335968018,0.7349051237106323,0.7525891661643982,0.7364786863327026
7,0.7648073434829712,0.7619321346282959,0.7481310963630676,0.7658227682113647,0.7502877116203308
8,0.6032202243804932,0.5888441801071167,0.5876940488815308,0.5886076092720032,0.5989643335342407
9,0.7561817169189453,0.7590569257736206,0.7446808218955994,0.7635213136672974,0.741081714630127
10,0.7688326835632324,0.7544565796852112,0.7498562335968018,0.7640966773033142,0.7525891661643982
11,0.7734330296516418,0.7590569257736206,0.764232337474823,0.7767549157142639,0.7629458904266357
12,0.7803335189819336,0.7630822062492371,0.7625072002410889,0.7779056429862976,0.7692750096321106
13,0.7694076895713806,0.7475560903549194,0.752731442451477,0.764672040939331,0.7537399530410767
14,0.7682576179504395,0.752731442451477,0.7561817169189453,0.7629458904266357,0.7594936490058899
15,0.7797584533691406,0.7596319913864136,0.7653824090957642,0.7727272510528564,0.7669735550880432
16,0.7832087278366089,0.7734330296516418,0.7694076895713806,0.7836593985557556,0.7784810066223145
17,0.7797584533691406,0.7728579640388489,0.7665324807167053,0.7784810066223145,0.7744534015655518
18,0.784933865070343,0.7676825523376465,0.7659574747085571,0.783083975315094,0.7733026742935181
19,0.7728579640388489,0.7504312992095947,0.7510063052177429,0.7663981318473816,0.7681242823600769
20,0.7682576179504395,0.7515813708305359,0.7550316452980042,0.7652474045753479,0.7675489187240601
21,0.7878090739250183,0.7665324807167053,0.7722828984260559,0.7761794924736023,0.7825086116790771
22,0.7883841395378113,0.7699827551841736,0.7659574747085571,0.7819332480430603,0.7744534015655518
23,0.774583101272583,0.764232337474823,0.764232337474823,0.7784810066223145,0.7727272510528564
24,0.7860839366912842,0.7676825523376465,0.7665324807167053,0.7796317338943481,0.7733026742935181
25,0.7797584533691406,0.7694076895713806,0.7671075463294983,0.7761794924736023,0.7807825207710266
26,0.6497987508773804,0.6371477842330933,0.6308223009109497,0.6524741053581238,0.6472957134246826
27,0.7757331728935242,0.7653824090957642,0.7607820630073547,0.7744534015655518,0.7773302793502808
28,0.7722828984260559,0.7648073434829712,0.7584818601608276,0.7819332480430603,0.7658227682113647
29,0.774583101272583,0.7481310963630676,0.7354801893234253,0.7663981318473816,0.7451093196868896
30,0.7550316452980042,0.7441058158874512,0.7481310963630676,0.7612197995185852,0.7497122883796692
31,0.7826337218284607,0.7676825523376465,0.7682576179504395,0.7836593985557556,0.7819332480430603
32,0.7803335189819336,0.7648073434829712,0.7607820630073547,0.7796317338943481,0.7767549157142639
33,0.78435879945755,0.7630822062492371,0.7711328268051147,0.7784810066223145,0.7756041288375854
34,0.7757331728935242,0.7596319913864136,0.7584818601608276,0.7698503732681274,0.7658227682113647
35,0.7872340679168701,0.7630822062492371,0.7699827551841736,0.7779056429862976,0.7779056429862976
36,0.7728579640388489,0.7602069973945618,0.7579068541526794,0.7738780379295349,0.7727272510528564
37,0.7561817169189453,0.7607820630073547,0.7412306070327759,0.7600690722465515,0.743958592414856
38,0.7734330296516418,0.7653824090957642,0.76365727186203,0.7738780379295349,0.7704257965087891
39,0.7705578207969666,0.7498562335968018,0.7487061619758606,0.7594936490058899,0.7629458904266357
40,0.7659574747085571,0.7584818601608276,0.7487061619758606,0.7710011601448059,0.7479861974716187
41,0.7768832445144653,0.7665324807167053,0.7734330296516418,0.7853854894638062,0.7750287652015686
42,0.7797584533691406,0.7699827551841736,0.77400803565979,0.7876870036125183,0.7750287652015686
43,0.7872340679168701,0.7728579640388489,0.7688326835632324,0.7807825207710266,0.7779056429862976
44,0.7786083817481995,0.7613571286201477,0.76365727186203,0.7784810066223145,0.7663981318473816
45,0.7832087278366089,0.7688326835632324,0.7676825523376465,0.7871116399765015,0.7721518874168396
46,0.7768832445144653,0.7613571286201477,0.7607820630073547,0.7756041288375854,0.7710011601448059
47,0.7895342111587524,0.7653824090957642,0.7671075463294983,0.7807825207710266,0.7756041288375854
48,0.7826337218284607,0.7573317885398865,0.7613571286201477,0.7658227682113647,0.7669735550880432
49,0.7694076895713806,0.7596319913864136,0.7515813708305359,0.7738780379295349,0.7612197995185852
